Date Time Data

2023-11-01 14:10:43.280943 H64

2023-11-01 14:12:37.113983 

2023-11-01 14:13:05.221192 

2023-11-01 14:13:19.808894 NNNN

2023-11-01 14:15:42.956342 M7}}N6{]34

2023-11-01 14:16:45.426875 MNNCCV46

2023-11-01 14:18:54.156197,N656

2023-11-01 14:42:41.113358 NNNNBVBM
2023-11-01 14:43:19.901713 
2023-11-01 14:43:37.581294 
2023-11-01 14:44:08.755810 MMMNNNBVV)
2023-11-01 14:50:03.623254 MN66443
2023-11-01 14:51:03.950268 4B5
2023-11-01 14:54:26.173746 JJJNB,.
2023-11-01 14:55:14.414495 
2023-11-01 14:55:28.938484 }
2023-11-01 15:05:38.812473 NNN
2023-11-01 15:16:10.518592 B667
2023-11-01 15:20:16.851668 *)))))4CCVVGHNN
2023-11-01 15:35:50.544261 
2023-11-01 15:36:07.791550 MNNNM)
2023-11-01 17:39:40.020770 HHH
2023-11-01 22:49:49.775155 
2023-11-01 22:50:05.455480 
2023-11-01 22:50:20.783069 
2023-11-01 22:50:36.831752 B55B
